,job_category,state,average_salary,median_salary,observations,Full_state,hovertext,average_total_cost,median_total_cost,avg_salary_after_COL,median_salary_after_COL
26,data analyst,IA,70935.0,70935.0,2,Iowa,Iowa<br>Average Salary: 70935.0<br>Observations: 2,28997.899313939393,29121.99168,41937.10068606061,41813.00832
27,data engineer,IA,86265.0,86265.0,1,Iowa,Iowa<br>Average Salary: 86265.0<br>Observations: 1,28997.899313939393,29121.99168,57267.10068606061,57143.00832
28,data scientist,IA,94888.0,94888.0,2,Iowa,Iowa<br>Average Salary: 94888.0<br>Observations: 2,28997.899313939393,29121.99168,65890.10068606061,65766.00832
29,data analyst,ID,70327.5,70327.5,2,Idaho,Idaho<br>Average Salary: 70327.5<br>Observations: 2,31049.051149090912,30986.712120000004,39278.44885090909,39340.787879999996
30,data engineer,ID,75312.0,75312.0,1,Idaho,Idaho<br>Average Salary: 75312.0<br>Observations: 1,31049.051149090912,30986.712120000004,44262.94885090909,44325.287879999996
31,data scientist,ID,107694.0,107694.0,1,Idaho,Idaho<br>Average Salary: 107694.0<br>Observations: 1,31049.051149090912,30986.712120000004,76644.94885090909,76707.28787999999
32,data analyst,IL,80110.625,71391.5,8,Illinois,Illinois<br>Average Salary: 80110.62<br>Observations: 8,30240.534768235295,29834.18886,49870.090231764705,41557.311140000005
33,data engineer,IL,98626.625,95055.0,8,Illinois,Illinois<br>Average Salary: 98626.62<br>Observations: 8,30240.534768235295,29834.18886,68386.09023176471,65220.811140000005
34,data scientist,IL,106816.1875,106718.0,16,Illinois,Illinois<br>Average Salary: 106816.19<br>Observations: 16,30240.534768235295,29834.18886,76575.65273176471,76883.81114
35,machine learning engineer,IL,85619.33333333333,88155.0,3,Illinois,Illinois<br>Average Salary: 85619.33<br>Observations: 3,30240.534768235295,29834.18886,55378.79856509803,58320.811140000005
36,other,IL,105921.0,102541.0,3,Illinois,Illinois<br>Average Salary: 105921.0<br>Observations: 3,30240.534768235295,29834.18886,75680.46523176471,72706.81114
37,data analyst,IN,58056.0,58056.0,1,Indiana,Indiana<br>Average Salary: 58056.0<br>Observations: 1,28814.150390869563,28442.27214,29241.849609130437,29613.72786
38,data engineer,IN,51672.0,51672.0,1,Indiana,Indiana<br>Average Salary: 51672.0<br>Observations: 1,28814.150390869563,28442.27214,22857.849609130437,23229.72786
39,data scientist,IN,102724.0,102724.0,2,Indiana,Indiana<br>Average Salary: 102724.0<br>Observations: 2,28814.150390869563,28442.27214,73909.84960913044,74281.72786
40,data analyst,KS,61695.0,61695.0,1,Kansas,Kansas<br>Average Salary: 61695.0<br>Observations: 1,30532.524036571427,30541.11636,31162.475963428573,31153.88364
